id,latitude,longitude,address,event_type,event_cause,priority,requires_road_closure,status,corridor,zone,junction,start_datetime,closed_datetime,police_station,hour,day_of_week,is_peak_hour,severity_score,duration_mins,corridor_incident_count,zone_incident_count,is_active
FKID000000,13.0400041,77.5180991,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",unplanned,vehicle_breakdown,High,False,closed,Tumkur Road,,,2024-03-07 17:01:48.111000+00:00,,Peenya,17.0,Thursday,0,3,,458.0,1.0,0
FKID000001,12.9218755,77.6451585,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",unplanned,vehicle_breakdown,High,False,resolved,ORR East 1,,,2024-01-30 04:07:24.173000+00:00,,HSR Layout,4.0,Tuesday,0,3,,244.0,1.0,0
FKID000002,12.955622,77.5857083,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",unplanned,others,Low,False,closed,Non-corridor,Central Zone 2,UrvashiJunction,2023-11-11 06:18:03.343000+00:00,2024-01-30 04:56:03.281509+00:00,Wilson Garden,6.0,Saturday,1,2,115117.99897515001,3124.0,623.0,0
FKID000003,13.0061469,77.5794348,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",unplanned,tree_fall,Low,True,closed,Non-corridor,,,2024-03-07 17:56:55.061000+00:00,2024-03-14 07:42:05.549440+00:00,Sadashivanagar,17.0,Thursday,0,6,9465.174807333333,3124.0,1.0,0
FKID000004,12.95398,77.5852333,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",unplanned,vehicle_breakdown,Low,False,closed,Non-corridor,,LalbaghMainGateJunc,2024-01-30 04:56:32.348000+00:00,2024-01-30 05:35:17.338283+00:00,Wilson Garden,4.0,Tuesday,0,2,38.74983805,3124.0,1.0,0
FKID000005,13.0664854,77.5998755,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",unplanned,accident,Low,False,closed,Non-corridor,North Zone 1,,2023-11-28 03:07:27.292421+00:00,,Hebbala,3.0,Tuesday,0,6,,3124.0,318.0,0
FKID000006,12.9328703,77.4879814,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",unplanned,vehicle_breakdown,Low,False,closed,Non-corridor,,,2024-01-30 07:26:26.739000+00:00,,Kengeri,7.0,Tuesday,1,2,,3124.0,1.0,0
FKID000007,12.973175,77.6003961,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",unplanned,others,Low,False,closed,Non-corridor,,,2024-01-30 06:05:59.339000+00:00,2024-02-16 01:28:18.330429+00:00,Cubbon Park,6.0,Tuesday,1,2,24202.316523816666,3124.0,1.0,0
FKID000008,12.97883573,77.59953728,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",planned,public_event,High,False,closed,CBD 2,,QueensStatueCircle,,,Cubbon Park,-1.0,,0,6,,104.0,1.0,0
FKID000009,13.0373543,77.6540442,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",unplanned,vehicle_breakdown,Low,False,closed,Non-corridor,,,2024-01-30 05:25:50.078000+00:00,,Hennuru,5.0,Tuesday,1,2,,3124.0,1.0,0
FKID000010,13.0008457,77.6813712,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",unplanned,water_logging,High,False,closed,ORR East 2,,,2024-03-07 18:01:40.182000+00:00,2024-03-14 05:49:58.160945+00:00,K.R. Pura,18.0,Thursday,0,5,9348.299649083334,187.0,1.0,0
FKID000011,12.94457,77.5274017,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)",unplanned,vehicle_breakdown,High,False,closed,ORR West 1,,MysoreRd-RingRdJunc(Nayandanahallii),2024-01-30 05:21:06.975000+00:00,,Byatarayanapura,5.0,Tuesday,1,3,,168.0,1.0,0
FKID000012,12.9995223,77.6827499,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",unplanned,water_logging,High,False,active,ORR East 2,,,2024-03-07 18:00:05.020000+00:00,,Mahadevapura,18.0,Thursday,0,5,,187.0,1.0,1
FKID000013,13.0418933,77.594705,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",unplanned,others,High,False,closed,ORR North 1,North Zone 1,HebbalFlyoverJunc,2023-12-26 19:15:28.124000+00:00,2024-03-07 19:10:20.402869+00:00,Hebbala,19.0,Tuesday,1,3,103674.87131448333,275.0,318.0,0
FKID000014,12.975285,77.6256902,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",unplanned,pot_holes,High,False,active,Old Madras Road,,,2024-03-07 19:26:15.604000+00:00,,Halasur,19.0,Thursday,1,4,,263.0,1.0,1
FKID000015,13.0633917,77.5933483,"Bellary Road, Capitaland IT Park, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",unplanned,others,High,False,active,Bellary Road 2,,,2024-03-07 19:10:21.930000+00:00,,Kodigehalli,19.0,Thursday,1,3,,379.0,1.0,1
FKID000016,13.063425,77.5933,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",unplanned,others,High,False,active,Bellary Road 2,,,2024-03-07 19:11:15.565000+00:00,,Kodigehalli,19.0,Thursday,1,3,,379.0,1.0,1
FKID000017,13.0254527,77.6417388,"MBT Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",unplanned,others,High,False,active,ORR North 1,,,2024-03-07 19:18:29.890000+00:00,,Hennuru,19.0,Thursday,1,3,,275.0,1.0,1
FKID000018,12.9233517,77.5904883,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",unplanned,tree_fall,Low,False,closed,Non-corridor,,,2024-03-07 19:39:29.764000+00:00,2024-03-08 00:32:50.464450+00:00,Jayanagara,19.0,Thursday,1,3,293.3450075,3124.0,1.0,0
FKID000019,13.0001393,77.5840594,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",unplanned,vehicle_breakdown,High,False,closed,Bellary Road 1,,,2024-01-30 04:49:17.231000+00:00,,Sadashivanagar,4.0,Tuesday,0,3,,610.0,1.0,0
FKID000020,12.9071221,77.6286395,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",unplanned,vehicle_breakdown,High,False,closed,Hosur Road,,,2024-03-07 19:25:04.302000+00:00,2024-03-07 19:52:19.227138+00:00,Madiwala,19.0,Thursday,1,3,27.2487523,298.0,1.0,0
FKID000021,12.927375,77.5806883,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",unplanned,tree_fall,Low,True,closed,Non-corridor,,,2024-03-07 19:45:16.034000+00:00,2024-03-09 20:33:47.282786+00:00,Jayanagara,19.0,Thursday,1,6,2928.5208131000004,3124.0,1.0,0
FKID000022,12.9169074,77.5950955,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",unplanned,pot_holes,Low,False,closed,Non-corridor,South Zone 1,28thMainJayanagarJunc,2024-01-05 22:35:41.185000+00:00,2024-03-07 19:48:05.331210+00:00,Jayanagara,22.0,Friday,1,3,89112.40243683333,3124.0,233.0,0
FKID000023,12.9667047,77.6615983,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",unplanned,pot_holes,Low,False,active,,,,2024-01-30 08:32:47.117000+00:00,,Jeevanbheemanagar,8.0,Tuesday,1,3,,1.0,1.0,1
FKID000024,12.8966387,77.7202071,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",unplanned,water_logging,Low,False,active,Non-corridor,,,2024-03-07 19:55:24.461000+00:00,,Whitefield,19.0,Thursday,1,4,,3124.0,1.0,1
FKID000025,12.9463911,77.597326,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",unplanned,tree_fall,Low,True,closed,Non-corridor,,,2024-03-07 06:09:19.361000+00:00,2024-03-07 20:12:38.802518+00:00,Wilson Garden,6.0,Thursday,1,6,843.3240253,3124.0,1.0,0
FKID000026,12.9856042,77.5977438,"Queens Road, HVS Apartment, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",unplanned,pot_holes,High,False,active,,,,2024-01-30 08:35:04.399000+00:00,,Shivajinagar,8.0,Tuesday,1,4,,1.0,1.0,1
FKID000027,12.9077383,77.6005709,"Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",unplanned,vehicle_breakdown,High,False,closed,Bannerghata Road,,,2024-01-30 08:12:47.138000+00:00,,Mico Layout,8.0,Tuesday,1,3,,209.0,1.0,0
FKID000028,12.9635109,77.6642122,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",unplanned,pot_holes,Low,False,closed,,,,2024-01-30 08:25:57.212000+00:00,2024-01-30 08:35:01.998607+00:00,HAL Old Airport,8.0,Tuesday,1,3,9.079776783333333,1.0,1.0,0
